time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,29,19,720,199
2025-12-18 00:00:00+00:00,31,16,859,205
2025-12-19 00:00:00+00:00,29,17,678,198
2025-12-20 00:00:00+00:00,33,18,471,128
2025-12-21 00:00:00+00:00,30,16,534,141
2025-12-22 00:00:00+00:00,24,11,724,209
2025-12-23 00:00:00+00:00,36,18,827,205
2025-12-24 00:00:00+00:00,41,15,750,175
2025-12-25 00:00:00+00:00,48,18,489,164
2025-12-26 00:00:00+00:00,41,19,465,161
2025-12-27 00:00:00+00:00,34,16,895,168
2025-12-28 00:00:00+00:00,38,18,550,150
2025-12-29 00:00:00+00:00,36,20,741,174
2025-12-30 00:00:00+00:00,43,24,687,177
